"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.335035021179196","0.351848536170778","0.358711195351015","0.378063894239285","0.386985351173594","0.395495048557088","0.404759638450409","0.415053627220765","0.421641780033793","0.428229932846821","0.43454357929264","0.439621947086015","0.448612030612127","0.455474689792364","0.469405887928246","0.47819009167895","0.485601763593607","0.490268371836168","0.491503650488611","0.498846695811465","0.50591523476711","0.510101456867055","0.514836691701419","0.51806214151613","0.521493471106249","0.525542440022589","0.529454155755325","0.531101193958581","0.535630549017538","0.546336297338709","0.550865652397666","0.551071532173073","0.543591233666614","0.540983423178124","0.530826687591372","0.537826599955214","0.539610891342076","0.554502861763191","0.55244406400912","0.557042045659879","0.565208610084362","0.564316464390931","0.57989470073007","0.576758823644828","0.578489362995198","0.582667595445381","0.59978500407961","0.593516263718226","0.606952211785367","0.645576232883046","0.649824876675386","0.653684660207783","0.679158648006247","0.710908672331997","0.725853756377136","0.735412052405623","0.746109749790499","0.758975146190274","0.780186816742352","0.804311282863385","",
"Afghanistan","AFG","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.0766600739003112","0.0919920886803735","0.0919920886803735","0.111923707894454","0.114990110850467","0.119589715284486","0.20698219953084","0.208515401008847","0.208515401008847","0.208515401008847","0.208515401008847","0.208515401008847","0.211581803964859","0.211581803964859","0.211581803964859","0.211581803964859","0.214648206920871","0.214648206920871","0.213115005442865","0.213115005442865","0.21924781135489","0.220781012832896","0.220781012832896","0.220781012832896","0.220781012832896","0.220781012832896","0.20698219953084","0.199316192140809","0.199316192140809","0.199316192140809","0.183984177360747","0.183984177360747","0.168652162580685","0.168652162580685","0.153320147800622","0.160986155190654","0.160986155190654","0.168652162580685","0.153320147800622","0.107324103460436","0.107324103460436","0.114990110850467","0.211581803964859","0.145654140410591","0.160986155190654","0.177851371448722","0.177851371448722","0.177851371448722","0.179384572926728","0.180917774404735","0.182450975882741","0.183984177360747","0.191650184750778","0.213115005442865","0.222314214310903","0.277509467519127","0.323505511859313","0.331171519249345","0.340370728117382","0.40629839167165","",
"Africa Western and Central","AFW","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.862093741502314","0.885859628721572","0.886522862783505","0.900671856104738","0.91426815437436","0.904761799486657","0.868726082121642","0.869831472224863","0.887628252886726","0.895034366578309","0.907856891775677","0.916036778539514","0.935381105345888","0.960515930481153","0.977804014689723","0.99836608893871","1.04568096946864","1.06436371435078","1.08879499611974","1.10305578955049","1.08558908131748","1.10493511891733","1.11797987569894","1.14528542591131","1.19315305037266","1.21128305132338","1.22233792995187","1.25771354156303","1.29176256773877","1.30956092233063","1.3455998266595","1.38274421885122","1.43967684378793","1.47958495563677","1.52988465339639","1.53740197086376","1.55951172812074","1.58104663168903","1.62071153620804","1.67695875866979","1.70402110155233","1.72312393182235","1.74808584776548","1.78963008165133","1.81028059492935","1.81213781453893","1.86540021977099","1.90290942295745","1.95965411495747","1.9824050551749","1.99785977549752","2.00336510505451","1.99472018996703","1.99989387316517","2.00539920272215","1.99973910486437","2.00458114170365","2.00931262975664","2.01404411780963","2.01857818010689","",
"Angola","AGO","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.401058795219379","0.320847036175503","0.240635277131627","0.240635277131627","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.23261410122724","0.236624689179434","0.252667040988209","0.252667040988209","0.252667040988209","0.252667040988209","",
"Albania","ALB","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","1.71532846715328","1.86131386861314","2.00729927007299","2.11678832116788","2.26277372262774","2.37226277372263","2.48175182481752","2.55474452554745","2.73722627737226","2.84671532846715","2.91970802919708","3.06569343065693","3.21167883211679","3.46715328467153","3.61313868613139","4.01459854014599","4.08759124087591","4.16058394160584","4.16058394160584","4.27007299270073","4.30656934306569","4.37956204379562","4.41605839416058","4.52554744525547","4.52554744525547","4.52554744525547","4.52554744525547","4.52554744525547","4.56204379562044","4.56204379562044","4.56204379562044","4.56204379562044","4.56204379562044","4.56204379562044","4.56204379562044","4.56204379562044","4.45255474452555","4.45255474452555","4.45255474452555","4.41605839416058","4.41605839416058","4.41605839416058","4.41605839416058","4.41605839416058","4.41605839416058","4.41605839416058","4.37956204379562","3.17518248175182","3.17518248175182","2.55474452554745","2.7007299270073","2.80656934306569","2.89051094890511","2.93430656934307","2.95620437956204","3.03649635036496","3.07299270072993","3.08956204379562","3.13868613138686","3.21003649635036","",
"Andorra","AND","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.23881097211775","0.24117105584467","0.243826150037455","0.248325059641897","0.248251307025431","0.249873864587689","0.252160195698143","0.254446526808597","0.264698140497407","0.27981742687299","0.284832604792696","0.295747992029702","0.304599204605186","0.307991834971249","0.309466891652145","0.316030893882136","0.316989680724719","0.321360937410075","0.321876765560011","0.32084510926014","0.328950980187704","0.341183476314756","0.355774043984372","0.368227609318539","0.372280544782321","0.376333480246103","0.383260315402385","0.392324799306105","0.403731729317819","0.416316148879129","0.422130003530261","0.429047123136009","0.424852322789739","0.433094737505217","0.442809011991315","0.454068739236565","0.456276528892497","0.461280852112608","0.470921533610175","0.477265249221552","0.480841868464161","0.497459165274471","0.503323834560476","0.511713922979886","0.552536117893408","0.560077026045745","0.571284496323304","0.570901389820153","0.557768633980072","0.588501405491076","0.602747840956869","0.628619008107802","0.6497301960572","0.656853763838824","0.658714595650433","0.671389132461021","0.668619253900829","0.663623440528853","0.65944184330072","0.653681944739802","",
"United Arab Emirates","ARE","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.0422416220782878","0.0422416220782878","0.0422416220782878","0.0422416220782878","0.0563221627710504","0.0563221627710504","0.0563221627710504","0.0563221627710504","0.0563221627710504","0.070402703463813","0.070402703463813","0.070402703463813","0.070402703463813","0.070402703463813","0.0563221627710504","0.070402703463813","0.070402703463813","0.0844832441565756","0.0985637848493382","0.0985637848493382","0.112644325542101","0.126724866234863","0.126724866234863","0.112644325542101","0.126724866234863","0.126724866234863","0.126724866234863","0.140805406927626","0.140805406927626","0.281610813855252","0.352013517319065","0.436496761475641","0.492818924246691","0.563221627710504","0.563221627710504","0.577302168403267","0.70402703463813","0.872993522951281","2.43593353984793","2.63306110954661","2.68938327231766","2.68938327231766","2.67530273162489","2.68938327231766","2.66122219093213","2.64714165023937","2.64714165023937","2.64714165023937","0.535060546324979","0.5871585468882","0.611095466065897","0.557589411433399","0.589974655026753","0.54210081667136","0.544916924809913","0.55336524922557","0.55336524922557","0.554773303294847","0.571669952126162","0.571669952126162","",
"Argentina","ARG","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.319729308032696","0.321921737573492","0.323748762190822","0.325941191731617","0.327768216348947","0.329960645889743","0.331787670507072","0.333980100047868","0.335807124665198","0.337999554205993","0.340191983746789","0.342019008364119","0.344211437904914","0.346038462522244","0.34823089206304","0.350057916680369","0.352250346221165","0.354077370838495","0.35626980037929","0.358462229920086","0.360289254537416","0.362481684078211","0.364674113619007","0.366501138236337","0.368328162853666","0.370520592394462","0.372347617011792","0.374540046552587","0.372713021935258","0.372713021935258","0.372713021935258","0.372713021935258","0.372713021935258","0.372713021935258","0.372713021935258","0.372713021935258","0.370885997317928","0.370885997317928","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.365404923465939","0.390252458261623","0.390252458261623","0.390252458261623","",
